xbox,ybox,width,height,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xedge,xedgey,yedge,yedgex,letter
4.21973,8.22843,6.79511,6.22581,4.58578,10.1924,2.97666,1.43517,3.48979,8.81818,1.88499,6.83401,2.67354,6.28384,4.52109,8.25355,A
1.41413,3.57573,4.25285,2.87556,1.60203,10.2765,2.45628,1.66999,2.83694,8.03905,1.34546,7.28226,2.46162,5.51614,1.64375,7.57221,A
3.87229,4.09832,4.86631,3.75526,3.00886,10.7832,4.72174,2.47327,4.21384,11.0225,3.26121,8.6573,2.75401,7.70625,3.36636,9.37509,B
2.78094,1.04906,4.37435,2.07737,1.14336,8.25132,2.79251,1.69379,2.26062,7.15486,2.15461,7.1493,2.1917,6.85717,2.45286,7.6392,A
4.22559,9.00182,4.18232,5.44153,5.67065,7.69285,7.24074,7.01343,5.30372,6.95737,7.96225,7.25272,2.84495,9.16278,9.24956,9.2175,B
5.83581,7.64979,6.1635,5.34889,4.33217,9.06719,4.37901,4.18046,5.33215,10.7203,4.86647,10.1913,3.24748,8.64003,4.30242,9.73318,B
5.29593,8.22882,5.01767,4.19582,2.54987,7.46362,7.18289,3.57665,4.40382,12.0466,6.15758,8.83052,3.25365,8.88117,5.04558,7.78096,C
5.09068,11.8898,5.89797,7.90404,5.56036,6.73626,5.58489,3.85688,4.36107,7.1129,3.75983,7.90436,2.18355,6.38278,4.88172,8.00796,B
2.83901,4.75195,3.08255,1.52634,1.63811,7.28016,9.15094,8.11227,7.45658,9.10412,7.73452,11.9384,2.49703,11.2403,6.38753,11.7944,C
1.11718,-0.872933,1.69254,-1.00291,-0.0813603,7.51492,6.9659,5.28535,5.2343,7.66625,6.0527,10.3783,1.18201,9.51987,3.77315,8.39405,B
4.39679,9.08746,5.51134,6.73077,4.30389,6.20178,8.11103,5.0512,5.83715,7.4469,4.36262,8.77619,2.84391,8.49658,7.28505,8.63284,C
1.95913,3.65703,3.20339,1.78369,1.77102,7.11792,6.49322,3.08467,4.59252,9.33062,5.13014,8.5916,2.74703,8.1446,3.2249,9.10361,B
3.23964,6.95056,4.10543,4.39997,2.41799,6.99419,6.17635,4.05114,4.91575,8.31047,4.54145,8.00689,2.51089,7.35397,4.31317,8.53634,B
2.91097,1.94165,3.40027,1.9373,0.378158,10.7652,2.18777,1.72982,0.475202,8.58037,2.84798,8.30001,2.37903,6.16561,1.65814,7.84387,A
3.69304,6.53222,4.54213,5.07966,4.19057,6.1273,8.05609,6.75142,6.33634,7.31563,6.85708,8.01493,2.74538,8.0325,6.67673,9.24412,B
4.41366,5.8216,6.25317,4.43047,5.64644,8.75109,8.50543,4.79564,7.36121,9.25688,7.47061,8.83105,3.54351,10.9765,4.18026,11.3728,C
